89,126,75,109,14,17,true
87,123,94,11,7,-112,false
89,108,81,109,8,-1,false
64,90,82,104,18,14,true
84,102,77,99,7,3,true
88,115,78,109,10,6,true
72,107,80,104,8,-3,false
103,142,82,120,21,22,true
95,132,80,107,15,25,true
63,90,95,124,32,34,true
93,116,68,95,25,21,true
86,114,87,111,1,-3,false
88,113,89,125,1,12,true
65,87,69,90,4,3,true
69,90,92,120,23,30,true
84,114,91,108,7,-6,false
74,94,67,91,7,3,true
74,102,80,101,6,-1,false
95,11,215,27,120,16,true
86,109,77,100,9,9,true
72,95,83,101,11,6,true
84,111,112,132,28,21,true
84,115,87,11,3,-104,false
105,131,100,136,5,-5,false
94,122,78,107,16,15,true
102,129,70,100,32,29,true
108,135,81,115,27,20,true
68,82,73,99,5,17,true
97,117,99,123,2,6,true
83,106,80,110,3,-4,false
104,139,79,110,25,29,true
81,108,73,102,8,6,true
89,109,83,120,6,-11,false
85,109,83,115,2,-6,false
101,124,104,131,3,7,true
82,95,96,125,14,30,true
91,115,100,124,9,9,true
76,12,184,19,108,7,true
81,109,67,90,14,19,true
102,119,85,101,17,18,true
84,104,78,109,6,-5,false
80,114,103,144,23,30,true
71,86,74,93,3,7,true
67,95,119,134,52,39,true
82,113,94,118,12,5,true
99,112,88,107,11,5,true
85,111,77,100,8,11,true
85,100,75,107,10,-7,false
82,112,79,104,3,8,true
69,92,78,108,9,16,true
60,80,82,110,22,30,true
71,94,69,88,2,6,true
89,100,93,116,4,16,true
76,110,75,106,1,4,true
99,124,74,111,25,13,true
69,94,79,99,10,5,true
60,82,79,96,19,14,true
